Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon RDS for MySQL,0,9206.4,110476.80,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (30 GB), Provisioning IOPS (1000), Quantity (4), Instance type (db.m4.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (2 TB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,8416.43,100997.16,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5n.12xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,159.14,1909.68,USD,Number of Application Load Balancers (4)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,120.9,1450.80,USD,"Hosted Zones (1), Basic Checks Within AWS (30)"
My Estimate,US East (N. Virginia),,S3 Standard,0,471.04,5652.48,USD,S3 Standard storage (20 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (4 TB per month), DT Outbound: Amazon CloudFront (4 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
